"","client_nr","yearmonth","total_nr_trx","nr_debit_trx","volume_debit_trx","nr_credit_trx","volume_credit_trx","min_balance","max_balance","CRG"
"84",3,"201508",121,67,14672515,54,14386161,-49155534,-41287756,"4"
"85",3,"201509",120,71,11110700,49,13284547,-49514562,-42486293,"4"
"86",3,"201510",127,80,17782654,47,13695689,-51412634,-43744699,"4"
"87",3,"201511",107,57,8506182,50,13365789,-48760483,-42168829,"4"
"88",3,"201512",113,63,20967265,50,16562411,-50236785,-39779240,"4"
"89",3,"201601",114,72,13031684,42,11066464,-50780900,-44572490,"4"
"90",3,"201602",112,60,10840297,52,12211555,-51906735,-47094927,"4"
"91",3,"201603",136,87,12360093,49,11159101,-50385684,-45265733,"4"
"92",3,"201604",100,57,16690784,43,13409792,-53666676,-46791457,"4"
"93",3,"201605",147,92,16230875,55,18243658,-54078744,-49044025,"4"
"94",3,"201606",111,65,10151083,46,13476786,-52891598,-44892452,"4"
"95",3,"201607",125,79,21976132,46,16084370,-54219952,-46012904,"4"
"96",3,"201608",117,58,13198950,59,13238229,-54288785,-49699301,"4"
"97",4,"201401",86,29,2107819,57,2521268,-3369672,721078,"1"
"98",4,"201402",81,31,2869177,50,3096904,-3070263,1082805,"1"
"99",4,"201403",78,32,2068393,46,2259346,-2904650,806438,"1"
"100",4,"201404",69,28,1874379,41,2061861,-3126259,768243,"1"
"101",4,"201405",74,25,2231410,49,2495474,-2608776,954286,"1"
"102",4,"201406",76,29,2276645,47,2616948,-2612448,655294,"1"
"103",4,"201407",85,32,2311426,53,2101737,-2665580,733161,"1"
"104",4,"201408",66,22,1625087,44,1779635,-2491935,629946,"1"
"105",4,"201409",87,29,2885455,58,2558894,-2495607,823965,"1"
"106",4,"201410",87,34,2178180,53,2450815,-2395631,795366,"1"
"107",4,"201411",66,22,1899322,44,1890544,-2100721,635545,"1"
"108",4,"201412",79,31,2060171,48,1978922,-2104393,429964,"1"
"109",4,"201501",78,30,1649991,48,2009107,-2148275,585502,"1"
"110",4,"201502",82,33,2762605,49,2763601,-1952382,837054,"1"
"111",4,"201503",86,35,2294432,51,2440976,-1904510,598555,"1"
"112",4,"201504",88,36,2220658,52,2285806,-1888739,693473,"1"
"113",4,"201505",76,27,2001178,49,2068267,-1600748,593650,"1"
"114",4,"201506",99,39,2804512,60,2793948,-1874470,441941,"1"
"115",4,"201507",91,29,1632254,62,1828623,-1697181,581177,"1"
"116",4,"201508",82,36,1871377,46,6799589,-1600740,5170562,"1"
"117",4,"201509",51,38,4081673,13,4190315,-3582,7617017,"1"
"118",4,"201510",27,19,340856,8,242061,-31548,3822583,"1"
"119",4,"201511",28,23,323786,5,78753,-32132,3602276,"1"
"120",4,"201512",21,18,150256,3,424542,-32691,3385943,"1"
"121",4,"201601",13,13,80017,0,0,-40474,3226496,"1"
"122",4,"201602",16,13,4721279,3,3033006,-41050,3170487,"1"
"123",4,"201603",11,10,206106,1,179300,-41626,1607393,"1"
"124",4,"201604",8,7,45651,1,1969,-47965,1450940,"1"
"125",4,"201605",7,7,62085,0,0,-49091,1414303,"1"
"126",4,"201606",5,5,40742,0,0,-49658,1321405,"1"
"127",4,"201607",8,6,12686,2,54520,-55744,1365426,"1"
"128",4,"201608",7,7,268017,0,0,-59132,1354626,"1"
"129",5,"201401",146,71,11619846,75,11306227,6668496,10371196,"1"
"130",5,"201402",128,61,9901841,67,8001755,6408587,11134124,"1"
"131",5,"201403",145,75,12349024,70,12716398,5187352,10109785,"1"
"132",5,"201404",142,72,14108181,70,12169731,4224112,10130007,"1"
"133",5,"201405",98,32,9020782,66,10267270,4669930,9337746,"1"
"134",5,"201406",157,84,12349318,73,13007214,4868864,9476205,"1"
"135",5,"201407",191,103,15551196,88,14148585,4645016,10808704,"1"
"136",5,"201408",136,68,8658985,68,12361958,4422164,11583647,"1"
"137",5,"201409",170,92,13423338,78,12808908,4199329,11951752,"1"
"138",5,"201410",208,130,15962630,78,12873597,3975701,12221123,"1"
"139",5,"201411",192,123,10592184,69,12524154,3752849,10341926,"1"
"140",5,"201412",213,140,15880634,73,15299195,3248567,10260334,"1"
"141",5,"201501",199,127,14149879,72,11635578,3024924,11028826,"1"
"142",5,"201502",178,114,11400796,64,11423368,2474502,9236468,"1"
"143",5,"201503",164,83,11577333,81,13502845,2248782,11296993,"1"
"144",5,"201504",172,95,13895426,77,10681560,1464880,12361836,"1"
"145",5,"201505",181,118,12037507,63,10392582,1796492,9645825,"1"
"146",5,"201506",161,92,11477470,69,12831055,1570787,9267241,"1"
"147",5,"201507",171,100,13423626,71,11677451,1344290,10216653,"1"
"148",5,"201508",156,90,8446636,66,11211759,1118567,9207220,"1"
"149",5,"201509",182,112,9070475,70,11867372,892854,12013869,"1"
"150",5,"201510",186,114,15780249,72,12037506,666431,13343754,"1"
"151",5,"201511",197,117,14695576,80,15168435,440709,12408476,"1"
"152",5,"201512",243,156,18777524,87,17477412,215004,9523045,"1"
"153",5,"201601",171,101,11429729,70,13099590,144802,11941871,"1"
"154",5,"201602",187,113,13122295,74,15153564,144070,12823327,"1"
"155",5,"201603",199,125,15404667,74,12405059,143371,12278181,"1"
"156",5,"201604",142,84,10437469,58,8836001,142975,10245322,"1"
"157",5,"201605",164,90,9906169,74,10995464,141568,8418769,"1"
"158",5,"201606",156,87,10612409,69,10161162,140861,9628241,"1"
"159",5,"201607",152,85,12434511,67,12882421,139846,11215021,"1"
"160",5,"201608",163,91,9474266,72,12106302,80130,11796285,"1"
"161",6,"201401",128,93,4805324,35,4824551,-33340659,7497491,"7"
"162",6,"201402",156,116,6704853,40,4399805,-32592584,6052322,"7"
"163",6,"201403",172,131,8104677,41,10350130,-32745595,5105748,"7"
"164",6,"201404",195,141,11809735,54,12011321,-30658773,5103891,"7"
"165",6,"201405",283,222,14463264,61,14374542,-30164664,4890914,"7"
"166",6,"201406",231,170,11227870,61,11250159,-31317204,4678617,"7"
"167",6,"201407",192,135,7524712,57,7424989,-30774156,4676854,"7"
"168",6,"201408",200,145,8834365,55,8834811,-29419848,4182157,"7"
"169",6,"201409",182,129,5553529,53,5678597,-29477541,4180989,"7"
"170",6,"201410",179,124,6671619,55,6552191,-29778417,4179735,"7"
"171",6,"201411",178,132,8982133,46,8990246,-29188322,3774632,"7"
"172",6,"201412",183,131,7349423,52,7398373,-28903998,3571731,"7"
"173",6,"201501",182,129,14650103,53,16878672,-29319663,3579881,"7"
"174",6,"201502",143,90,16026910,53,14058753,-28339008,4050000,"7"
"175",6,"201503",176,116,10998411,60,10748484,-27636261,2546733,"7"
"176",6,"201504",213,149,11523904,64,11477984,-28290627,2554897,"7"
"177",6,"201505",188,136,8812563,52,8790432,-27684386,2560815,"7"
"178",6,"201506",224,159,11956763,65,11954834,-27673631,2570224,"7"
"179",6,"201507",209,147,9265383,62,9237728,-28163340,2578372,"7"
"180",6,"201508",184,133,6004595,51,5672153,-27929813,2587790,"7"
"181",6,"201509",162,114,4837089,48,4669454,-27936577,2597199,"7"
"182",6,"201510",156,110,4896612,46,5055113,-28157678,2118353,"7"
"183",6,"201511",243,172,11827305,71,12109595,-27384342,1994505,"7"
"184",6,"201512",162,128,3700195,34,3816186,-26985646,1786410,"7"
"185",6,"201601",152,114,3606763,38,3875876,-27428352,1805783,"7"
"186",6,"201602",165,109,5338299,56,4238137,-27557491,1792000,"7"
"187",6,"201603",207,137,7329142,70,7647262,-27562507,1801370,"7"
"188",6,"201604",229,162,7247259,67,8576174,-27748907,1809534,"7"
"189",6,"201605",252,183,8196979,69,7346318,-26515245,1551510,"7"
"190",6,"201606",262,180,12145142,82,12374561,-26222273,1525000,"7"
"191",6,"201607",179,130,5450767,49,4704718,-25934693,662948,"7"
"192",6,"201608",238,164,9355713,74,9884095,-25459937,700000,"7"
"193",7,"201401",206,116,8774678,90,9140847,-1459448,5127316,"2"
"194",7,"201402",160,97,6405989,63,4665298,-1618492,4252946,"2"
"195",7,"201403",129,76,5124533,53,3811679,-1740478,2945377,"2"
"196",7,"201404",176,114,8506064,62,10245209,-1861571,3284419,"2"
"197",7,"201405",155,104,8582111,51,4318890,-2230177,2387328,"2"
"198",7,"201406",138,81,5273225,57,7901148,-2556144,3433354,"2"
"199",7,"201407",163,93,9462047,70,12176119,-2343683,3403902,"2"
"200",7,"201408",127,73,7715372,54,7657143,-96118,2395574,"2"
"201",7,"201409",170,100,13308581,70,6352179,-4018270,1952834,"2"
"202",7,"201410",172,109,10273572,63,6855703,-6683092,2122685,"2"
"203",7,"201411",155,97,6439104,58,7073289,-6678013,2095912,"2"
"204",7,"201412",209,139,18535984,70,13706292,-8787607,2023566,"2"
"205",7,"201501",128,80,5274014,48,5688859,-9178328,230830,"2"
"206",7,"201502",134,85,5715979,49,3831201,-9389109,-792033,"2"
"207",7,"201503",141,91,6579413,50,7574723,-9532041,-209417,"2"
"208",7,"201504",180,116,8187325,64,12220953,-9584196,-71962,"2"
"209",7,"201505",177,123,8956565,54,5290893,-8826723,-629736,"2"
"210",7,"201506",188,123,11284824,65,14798063,-9176862,804617,"2"
"211",7,"201507",163,110,7619952,53,5622451,-7197006,830235,"2"
"212",7,"201508",162,102,11860582,60,20399625,-6868109,2143948,"2"
"213",7,"201509",174,108,6068240,66,6350735,-2865922,3152003,"2"
"214",7,"201510",165,113,8381751,52,5876177,-4461513,3105718,"2"
"215",7,"201511",183,111,11313191,72,10420838,-6358801,3034240,"2"
"216",7,"201512",181,116,13154951,65,13034332,-4644844,3067117,"2"
"217",7,"201601",162,92,8449815,70,9442444,-3241055,2298483,"2"
"218",7,"201602",148,91,6685850,57,10529970,-3677157,7002838,"2"
"219",7,"201603",144,84,14240218,60,6772939,-4237645,7973699,"2"
"220",7,"201604",161,111,6114903,50,11529711,-5598542,2153508,"2"
"221",7,"201605",156,94,9378271,62,8478085,-2185726,2991785,"2"
"222",7,"201606",145,94,11280453,51,7279782,-2980987,3691501,"2"
"223",7,"201607",131,81,4740098,50,6026934,-4464267,1297526,"2"
"224",7,"201608",191,135,11404696,56,7724786,-6179270,1527806,"2"
"225",8,"201401",602,187,23168220,415,23418912,407502,57227188,"1"
"226",8,"201402",467,207,218124812,260,196348917,34669,82500000,"1"
"227",8,"201403",457,202,23621980,255,19806534,38158,13642029,"1"
"228",8,"201404",471,217,38193317,254,35095417,734468,58000000,"1"
"229",8,"201405",404,182,37073497,222,21129310,153244,40000000,"1"
"230",8,"201406",405,171,17109456,234,14523678,218728,10125253,"1"
"231",8,"201407",446,204,54850715,242,52604448,108116,50000000,"1"
"232",8,"201408",363,161,59282294,202,53534729,291063,31500000,"1"
"233",8,"201409",395,175,49291250,220,51904130,75208,46500000,"1"
"234",8,"201410",466,187,23574870,279,24866294,87499,15512744,"1"
"235",8,"201411",412,188,20904230,224,18626798,490849,11810576,"1"
"236",8,"201412",424,187,22170053,237,26039209,765538,43500000,"1"
"237",8,"201501",398,172,42394275,226,43686165,0,53500000,"1"
"238",8,"201502",375,171,19572537,204,19984405,826549,8322285,"1"
"239",8,"201503",422,179,50467958,243,36080841,274944,38500000,"1"
"240",8,"201504",360,140,28724277,220,28132954,0,38000000,"1"
"241",8,"201505",429,236,28425997,193,25710429,668042,7801955,"1"
"242",8,"201506",346,131,13166253,215,14557371,509971,5806518,"1"
"243",8,"201507",417,217,40791205,200,30359149,-186084,35500000,"1"
"244",8,"201508",335,151,18576496,184,20548172,500978,28000000,"1"
"245",8,"201509",367,157,22725400,210,26145394,602258,11535801,"1"
"246",8,"201510",368,160,31489502,208,32495442,82927,14046383,"1"
"247",8,"201511",377,167,24565758,210,28285861,741382,33000000,"1"
"248",8,"201512",378,179,19872958,199,22040029,580549,10300275,"1"
"249",8,"201601",352,159,18792662,193,16123677,518072,8081333,"1"
"250",8,"201602",353,157,19428133,196,17226681,58448,10332611,"1"
"251",8,"201603",374,165,18998374,209,23250969,69789,11380197,"1"
"252",8,"201604",328,144,17393326,184,16587975,0,11715754,"1"
"253",8,"201605",322,133,19090034,189,16375743,4774,11900374,"1"
"254",8,"201606",321,133,16877191,188,18056635,453599,12319692,"1"
"255",8,"201607",354,173,20047234,181,17992123,88547,31000000,"1"
"256",8,"201608",342,150,19767744,192,17964895,259385,28000000,"1"
"257",9,"201401",4,4,42536,0,0,-185531,-147050,"1"
"258",9,"201402",2,2,1166,0,0,-186557,-172683,"1"
"259",9,"201403",2,2,1149,0,0,-187566,-172823,"1"
"260",9,"201404",4,4,42017,0,0,-229443,-172963,"1"
"261",9,"201405",2,2,1166,0,0,-230469,-173103,"1"
"262",9,"201406",2,2,1149,0,0,-231478,-173243,"1"
"263",9,"201407",4,4,43434,0,0,-274772,-173383,"1"
"264",9,"201408",2,2,1166,0,0,-275798,-173523,"1"
"265",9,"201409",2,2,1149,0,0,-276807,-173663,"1"
"266",9,"201410",4,4,44663,0,0,-321330,-173803,"1"
"267",9,"201411",2,2,1166,0,0,-322356,-173943,"1"
"268",9,"201412",2,2,1149,0,0,-323365,-174083,"1"
"269",9,"201501",4,4,45701,0,0,-368926,-174223,"1"
"270",9,"201502",2,2,1216,0,0,-370002,-174363,"1"
"271",9,"201503",2,2,1199,0,0,-371061,-174503,"1"
"272",9,"201504",4,4,45164,0,0,-416085,-174643,"1"
"273",9,"201505",1,1,1076,0,0,-417161,-417161,"1"
"274",9,"201506",1,1,1059,0,0,-418220,-418220,"1"
"275",9,"201507",3,3,46760,0,0,-464980,-427493,"1"
"276",9,"201508",1,1,1076,0,0,-466056,-466056,"1"
"277",9,"201509",1,1,1059,0,0,-467115,-467115,"1"
"278",9,"201510",3,3,47846,0,0,-514961,-477199,"1"
"279",9,"201511",1,1,1076,0,0,-516037,-516037,"1"
"280",9,"201512",1,1,1059,0,0,-517096,-517096,"1"
"281",9,"201601",3,3,48944,0,0,-566040,-528406,"1"
"282",9,"201602",1,1,1076,0,0,-567116,-567116,"1"
"283",9,"201603",1,1,1059,0,0,-568175,-568175,"1"
"284",9,"201604",3,2,48224,1,791042,-616399,174643,"1"
"285",9,"201605",2,2,2135,0,0,172508,173584,"1"
"286",9,"201606",1,1,1067,0,0,171441,171441,"1"
"287",9,"201607",3,3,43696,0,0,127745,166266,"1"
"288",9,"201608",1,1,1076,0,0,126669,126669,"1"
"289",10,"201401",161,101,19477085,60,15672655,-263208,20981064,"1"
"290",10,"201402",140,87,18559243,53,22741656,31431,4209922,"1"
"291",10,"201403",132,72,25407789,60,22158415,-27264,4816438,"1"
"292",10,"201404",101,50,12876433,51,13641871,39222,4950990,"1"
"293",10,"201405",94,46,12532543,48,13260095,-93554,3782829,"1"
"294",10,"201406",103,47,17407860,56,19679016,0,7543312,"1"
"295",10,"201407",94,52,13866477,42,10964944,51347,4964519,"1"
"296",10,"201408",76,30,11450257,46,15186160,249434,6073973,"1"
"297",10,"201409",121,53,40152353,68,40256669,13639,7220000,"1"
"298",10,"201410",132,52,36884616,80,36887119,-6691,6090000,"1"
"299",10,"201411",113,40,23098082,73,23876498,5435,7500000,"1"
"300",10,"201412",86,31,21967663,55,29028806,-312536,10400000,"1"
"301",10,"201501",102,49,28738981,53,27998252,-305300,20638436,"1"
"302",10,"201502",83,35,16596955,48,16900343,18016,9400000,"1"
"303",10,"201503",96,39,24655222,57,22610770,2786,10300000,"1"
"304",10,"201504",99,44,17398071,55,19768221,35351,9500000,"1"
"305",10,"201505",103,51,11951627,52,13464516,33388,8400000,"1"
"306",10,"201506",103,45,19418839,58,19546339,29684,10650000,"1"
"307",10,"201507",106,53,15705406,53,14020301,91794,8100000,"1"
"308",10,"201508",90,36,12390281,54,15842950,42201,10100000,"1"
"309",10,"201509",85,40,20375948,45,18275765,909494,6154293,"1"
"310",10,"201510",113,51,18627604,62,22916179,33366,9800000,"1"
"311",10,"201511",127,59,38111381,68,38230425,8750,16300000,"1"
"312",10,"201512",108,52,44304153,56,42289130,98003,24138436,"1"
"313",10,"201601",96,41,12932657,55,14988476,83925,24312424,"1"
"314",10,"201602",115,51,30274443,64,28432418,31785,7200000,"1"
"315",10,"201603",106,50,22304630,56,22108770,71749,5342333,"1"
"316",10,"201604",113,44,16118319,69,17526639,54319,5025634,"1"
"317",10,"201605",100,40,23785796,60,24074705,-289298,7300000,"1"
"318",10,"201606",94,35,15189724,59,18074269,35863,6500000,"1"
"319",10,"201607",103,48,25661670,55,24211370,12706,7500000,"1"
"320",10,"201608",89,40,17813326,49,21751870,82382,8900000,"1"
"321",11,"201401",139,97,10336272,42,5765983,112807,29298299,"1"
"322",11,"201402",118,88,15346698,30,12756271,279134,26298299,"1"
"323",11,"201403",143,104,7510251,39,7845703,313138,2166718,"1"
"324",11,"201404",105,72,7240193,33,7628833,13002,26358866,"1"
"325",11,"201405",100,67,13222082,33,17832660,430863,31358866,"1"
"326",11,"201406",78,48,9598491,30,13367190,582668,7462685,"1"
"327",11,"201407",102,61,13202024,41,11274518,383567,32923835,"1"
"328",11,"201408",130,100,11800341,30,9049349,14760,3851958,"1"
"329",11,"201409",151,114,15058056,37,12640091,204022,30423835,"1"
"330",11,"201410",118,77,7488907,41,10356501,17833,30487738,"1"
"331",11,"201411",92,57,11284340,35,13411753,153335,33987738,"1"
"332",11,"201412",96,58,8545531,38,13185351,583912,5159750,"1"
"333",11,"201501",98,67,7518018,31,6188098,1729520,34039976,"1"
"334",11,"201502",125,95,14760561,30,9026305,139370,4656036,"1"
"335",11,"201503",128,92,11500977,36,24680391,97682,32039976,"1"
"336",11,"201504",115,81,22403113,34,24245252,34411,47085142,"1"
"337",11,"201505",85,50,15753848,35,20409743,126210,53085142,"1"
"338",11,"201506",86,50,5109958,36,8698141,285455,6054345,"1"
"339",11,"201507",100,62,7251271,38,6020937,388505,53144833,"1"
"340",11,"201508",141,101,16128134,40,11485068,9434,50144833,"1"
"341",11,"201509",130,93,8778141,37,8823162,195680,2427295,"1"
"342",11,"201510",105,63,6550509,42,9056277,194426,50203559,"1"
"343",11,"201511",91,57,8136087,34,10390269,307402,4811261,"1"
"344",11,"201512",94,55,5047460,39,16206433,2292632,11489425,"1"
"345",11,"201601",114,80,15764569,34,9811425,531531,50254175,"1"
"346",11,"201602",136,99,13293779,37,9781088,923101,6702351,"1"
"347",11,"201603",125,90,7306293,35,6209861,316610,5324947,"1"
"348",11,"201604",125,89,8756407,36,9717588,972558,50287403,"1"
"349",11,"201605",99,54,11457814,45,18308758,1099778,12998367,"1"
"350",11,"201606",79,46,4133140,33,7655057,1720921,13060326,"1"
"351",11,"201607",93,58,7593016,35,6138974,3767836,50304206,"1"
"352",11,"201608",150,108,13080075,42,8999626,890022,13129481,"1"
"353",12,"201401",125,54,14278455,71,17685603,-7017039,1249047,"3"
"354",12,"201402",96,41,14975581,55,10064960,-9532545,1253409,"3"
"355",12,"201403",111,44,12034632,67,13725834,-10259515,1258627,"3"
"356",12,"201404",116,47,15257429,69,12352655,-10006950,1252801,"3"
"357",12,"201405",113,43,10521990,70,12599881,-10064233,1336800,"3"
"358",12,"201406",107,39,14880429,68,18109528,-7740163,1256789,"3"
"359",12,"201407",104,43,16510170,61,11185117,-9996777,1250122,"3"
"360",12,"201408",111,38,11173504,73,13047232,-9969365,1253815,"3"
"361",12,"201409",135,53,12849717,82,16500999,-8072589,1258312,"3"
"362",12,"201410",130,43,18325054,87,14553967,-9133708,1251146,"3"
"363",12,"201411",105,38,14295601,67,13160320,-9988091,1254839,"3"
"364",12,"201412",139,56,15431538,83,16854285,-9793264,1249457,"3"
"365",12,"201501",110,41,13863907,69,15714604,-7714000,1251823,"3"
"366",12,"201502",112,42,13509765,70,11550918,-8649574,1253275,"3"
"367",12,"201503",135,60,11924902,75,11562751,-10228827,1255889,"3"
"368",12,"201504",126,47,11674466,79,11865194,-10089753,1256944,"3"
"369",12,"201505",116,54,10918498,62,11214629,-9971478,1331431,"3"
"370",12,"201506",133,51,13084919,82,14836150,-8415587,1258389,"3"
"371",12,"201507",137,47,17190807,90,14109049,-9798768,1248953,"3"
"372",12,"201508",117,40,12503494,77,13180204,-9969249,1254577,"3"
"373",12,"201509",123,45,12644596,78,16581628,-10000280,1260177,"3"
"374",12,"201510",162,63,19176759,99,14417579,-9158686,1254853,"3"
"375",12,"201511",118,40,13934934,78,13672685,-11132961,1252234,"3"
"376",12,"201512",138,56,13073946,82,13467227,-10080737,921607,"3"
"377",12,"201601",132,49,14794957,83,14609102,-10037085,1257438,"3"
"378",12,"201602",120,38,11644384,82,12701628,-10065397,1258754,"3"
"379",12,"201603",127,46,11824363,81,10326977,-10936333,1258335,"3"
"380",12,"201604",128,51,10689916,77,11001216,-10298909,1257047,"3"
"381",12,"201605",134,57,11199408,77,12638412,-10114122,1327608,"3"
"382",12,"201606",140,44,14295039,96,12851639,-9778894,1250417,"3"
"383",12,"201607",120,37,10377233,83,11777889,-10079285,1260012,"3"
"384",12,"201608",131,43,14991103,88,13358543,-10070568,1260883,"3"
"385",13,"201401",104,61,3196717,43,3586532,-9077149,218966,"4"
"386",13,"201402",154,107,4060628,47,3319644,-9071443,117864,"4"
"387",13,"201403",131,93,2943586,38,2859649,-9010088,48102,"4"
"388",13,"201404",144,94,4169392,50,4616635,-9171299,117753,"4"
"389",13,"201405",136,88,4344138,48,4609895,-8620308,146111,"4"
"390",13,"201406",123,77,4090807,46,3831258,-8632378,135720,"4"
"391",13,"201407",135,83,3865219,52,4362286,-8797117,163958,"4"
"392",13,"201408",188,138,5597367,50,5616334,-8155147,13582,"4"
"393",13,"201409",187,131,5540622,56,5521505,-8162529,153311,"4"
"394",13,"201410",157,106,5478940,51,6139253,-8302469,133549,"4"
"395",13,"201411",159,119,6821498,40,6739878,-7674136,107041,"4"
"396",13,"201412",179,128,7684075,51,7690548,-7717212,176654,"4"
"397",13,"201501",113,71,3552767,42,3548542,-7902350,155147,"4"
